genes,reaction,Organism,geneKO,maxATPafterKO,growthAcrossCond,closeness,degree,betweenness,pagerank,reversible,rawVmin,rawVmax,PFBAflux,kcat,MW,Target,Acetyl,Phos
b0002,"ASPK",1,0.999999999999442,0.999999999999664,1,0.537964576674575,0.262688614540466,0.00194290531428922,0.249491963561101,1,0.460098611621428,0.0188171458948971,4.92753635139073,1.00375811962536,0.537044780777032,1,1,0
b0002,"HSDy",1,0.999999999999442,0.999999999999664,1,0.792582967532203,0.710562414266118,0.00314147569975775,0.637777084393548,1,0.442982962352821,0.0122871574521387,-3.21777513515162,1.00375811962536,0.537044780777032,1,1,0
b0003,"HSK",1,0,0.99999999999966,0.015015015015015,0.826518424583804,0.770233196159122,0.0104839269502027,0.699272488226982,0,0.455015456482818,0.009579517984317,2.50837557199718,1.00375811962536,0.190681853643314,1,1,0
b0004,"4HTHRS",1,0,0.99999999999966,0.015015015015015,0.623142299778029,0.446502057613169,0.00405774974544981,0.420110289166043,0,0.449744842686922,0,0,1.00375811962536,0.274875955687315,1,1,0
b0004,"THRS",1,0,0.99999999999966,0.015015015015015,0.626026867830777,0.451303155006859,0.0112016412654086,0.434706371545985,0,0.455015456482818,0.009579517984317,2.50837557199718,0.527273206818816,0.274875955687315,1,1,0
b0008,"TALA",1,0.999999999999442,0.999999999999664,1,0.364966268221666,0.0205761316872428,0.00298879411375817,0.126279962733921,1,0.38450344812659,0.0209068069062637,0,1.00375811962536,0.200636604774536,-1,0,1
b0009,"MPTAT",1,0,0.999999999999668,0.0570570570570571,0.832872478051769,0.781207133058985,0.0197129793874509,0.716792501862596,0,0.449747205773943,4.29444632500635e-06,0.00112463367406932,1.00375811962536,0.113278202527695,1,1,0
b0025,"FMNAT",1,0,0.999999999999484,0,0.835670744057622,0.786008230452675,0.0453409976940117,0.744274038478033,0,0.449747002393502,3.92484231129039e-06,0.00102784143162951,1.00375811962536,0.197609611483851,1,1,0
b0025,"RBFK",1,0,0.999999999999484,0,0.826123222399493,0.769547325102881,0.0162328131182927,0.70296975966035,0,0.449747002393502,3.92484231129039e-06,0.00102784143162951,1.00375811962536,0.197609611483851,1,1,0
b0026,"ILETRS",1,0.999999999999442,0.999999999999664,0,0.551763396039906,0.296296296296296,0.00379475477401011,0.286405960761846,0,0.449744842686922,0,0,1.66858864748465,0.215590575752848,-1,1,1
