genes,reaction,Phase
ACAD11,ACOAD1fm,G0
ACAD11,PPCOAOm,G0
ACAT1,ACACT10m,G0
ACAT1,ACACT1rm,G0
ACLY,ACITL,G0
AHCY,AHC,G0
AHCY,SEAHCYSHYD,G0
ALDOC,FBA,G0
ALDOC,FBA2,G0
ALDOC,FBA4,G0
ATP6V1E1,ATPasel,G0
ATP6V1E2,ATPasel,G0
BLVRA,BILIRED,G0
CAT,CAT2p,G0
CAT,CATm,G0
CAT,CATp,G0
DLD,2OXOADOXm,G0
DLD,AKGDm,G0
DLD,GCC2am,G0
DLD,GCC2bim,G0
DLD,GCC2cm,G0
DLD,GCCam,G0
DLD,GCCbim,G0
DLD,GCCcm,G0
DLD,OIVD1m,G0
DLD,OIVD2m,G0
DLD,OIVD3m,G0
DLD,PDHm,G0
ENO1,ENO,G0
FASN,ACOATA,G0
FASN,FAS100COA,G0
FASN,FAS120COA,G0
FASN,FAS140COA,G0
FASN,FAS160COA,G0
FASN,FAS180COA,G0
FASN,FAS80COA_L,G0
FASN,KAS8,G0
FASN,MCOATA,G0
FH,FUM,G0
FH,FUMm,G0
GAPDH,GAPD,G0
GNPAT,DHAPAx,G0
GOT2,3SALATAim,G0
GOT2,ASPTAm,G0
GOT2,CYSTAm,G0
GOT2,EHGLAT2m,G0
GOT2,EHGLATm,G0
GOT2,LCYSTATm,G0
GOT2,PHETA1m,G0
GOT2,TYRTAm,G0
HADH,HACD1m,G0
HADHA,ACACT1rm,G0
HADHA,C2M26DCOAHLm,G0
HADHA,ECOAH12m,G0
HADHA,ECOAH1m,G0
HADHA,ECOAH9m,G0
HADHA,HACD1m,G0
HADHA,PRPNCOAHYDm,G0
HADHA,T2M26DCOAHLm,G0
HADHB,ACACT1rm,G0
HADHB,C2M26DCOAHLm,G0
HADHB,ECOAH12m,G0
HADHB,ECOAH1m,G0
HADHB,ECOAH9m,G0
HADHB,HACD1m,G0
HADHB,PRPNCOAHYDm,G0
HADHB,T2M26DCOAHLm,G0
HAL,HISD,G0
HMGCL,HMGLm,G0
HSD17B4,C3STKR2r,G0
HSD17B4,FAOXC16080x,G0
HSD17B4,FAOXC180x,G0
HSD17B4,FAOXC183806x,G0
HSD17B4,FAOXC18480x,G0
HSD17B4,FAOXC200180x,G0
HSD17B4,FAOXC2051843x,G0
HSD17B4,FAOXC2242046x,G0
HSD17B4,FAOXC2251836x,G0
HSD17B4,FAOXC2252053x,G0
HSD17B4,FAOXC226205x,G0
HSD17B4,FAOXC240200x,G0
HSD17B4,FAOXC241181x,G0
HSD17B4,FAOXC2442246x,G0
HSD17B4,FAOXC2452253x,G0
HSD17B4,FAOXC2452256x,G0
HSD17B4,FAOXC246226x,G0
HSD17B4,FAOXC260240x,G0
HSD17B4,HACD1x,G0
HSD17B4,HSD17B42x,G0
HSD17B4,HSD17B4x,G0
HSD17B4,PEROXx,G0
LDHA,2HBO,G0
LDHA,GLXO1,G0
LDHA,HPYRR2x,G0
LDHA,LDH_L,G0
LDHA,LDH_Lm,G0
LDHA,MCLOR,G0
LDHB,2HBO,G0
LDHB,GLXO1,G0
LDHB,HPYRR2x,G0
LDHB,LDH_L,G0
LDHB,MCLOR,G0
MDH2,MDHm,G0
MDH2,SLDxm,G0
MTHFD1L,FTHFLm,G0
MTHFD1L,MTHFCm,G0
MTHFD1L,MTHFDm,G0
MTHFD2,MTHFCm,G0
MTHFD2,MTHFD2m,G0
MTHFD2,MTHFDm,G0
NUDT5,ADPGLC,G0
NUDT5,ADPMAN,G0
NUDT5,ADPRDP,G0
OXCT1,OCOAT1m,G0
PAICS,AIRCr,G0
PDHB,PDHm,G0
PGAM1,DPGM,G0
PGAM1,DPGase,G0
PPA1,PPA,G0
PPAT,GLUPRT,G0
PRPS1,PRPPS,G0
PRPS2,PRPPS,G0
RRM1,RNDR1,G0
RRM1,RNDR2,G0
RRM1,RNDR3,G0
RRM1,RNDR4,G0
SCP2,SCP21x,G0
SCP2,SCP22x,G0
SCP2,SCP2x,G0
SCP2,SCP3x,G0
SCP2,SCPx,G0
SDHA,SUCD1m,G0
SHMT2,GHMT2rm,G0
SLC25A4,ATPtm,G0
SLC25A5,ATPtm,G0
SLC25A6,ATPtm,G0
SUCLG2,ITCOAL1m,G0
SUCLG2,MECOAS1m,G0
SUCLG2,SUCOAS1m,G0
TKT,TKT1,G0
TKT,TKT2,G0
TPI1,TPI,G0
ACAD11,ACOAD1fm,G1
ACAD11,PPCOAOm,G1
ACAT1,ACACT10m,G1
ACAT1,ACACT1rm,G1
ACLY,ACITL,G1
AHCY,AHC,G1
AHCY,SEAHCYSHYD,G1
ALDOC,FBA,G1
ALDOC,FBA2,G1
ALDOC,FBA4,G1
ATP6V1E1,ATPasel,G1
ATP6V1E2,ATPasel,G1
BLVRA,BILIRED,G1
CAT,CAT2p,G1
CAT,CATm,G1
CAT,CATp,G1
DLD,2OXOADOXm,G1
DLD,AKGDm,G1
DLD,GCC2am,G1
DLD,GCC2bim,G1
DLD,GCC2cm,G1
DLD,GCCam,G1
DLD,GCCbim,G1
DLD,GCCcm,G1
DLD,OIVD1m,G1
DLD,OIVD2m,G1
DLD,OIVD3m,G1
DLD,PDHm,G1
ENO1,ENO,G1
ENO2,ENO,G1
FASN,ACOATA,G1
