genes,reaction,Phase
ACAT1,ACACT10m,G1
ACAT1,ACACT1rm,G1
CAT,CATp,G1
FASN,ACOATA,G1
FASN,FAS100COA,G1
FASN,FAS120COA,G1
FASN,FAS140COA,G1
FASN,FAS160COA,G1
FASN,FAS180COA,G1
FASN,FAS80COA_L,G1
FASN,KAS8,G1
FASN,MCOATA,G1
HSD17B4,C3STKR2r,G1
HSD17B4,FAOXC16080x,G1
HSD17B4,FAOXC180x,G1
HSD17B4,FAOXC183806x,G1
HSD17B4,FAOXC18480x,G1
HSD17B4,FAOXC200180x,G1
HSD17B4,FAOXC2051843x,G1
HSD17B4,FAOXC2242046x,G1
HSD17B4,FAOXC2251836x,G1
HSD17B4,FAOXC2252053x,G1
HSD17B4,FAOXC226205x,G1
HSD17B4,FAOXC240200x,G1
HSD17B4,FAOXC241181x,G1
HSD17B4,FAOXC2442246x,G1
HSD17B4,FAOXC2452253x,G1
HSD17B4,FAOXC2452256x,G1
HSD17B4,FAOXC246226x,G1
HSD17B4,FAOXC260240x,G1
HSD17B4,HACD1x,G1
HSD17B4,HSD17B42x,G1
HSD17B4,HSD17B4x,G1
HSD17B4,PEROXx,G1
NUDT5,ADPGLC,G1
PGAM1,DPGM,G1
DLD,GCC2bim,S
DLD,GCCbim,S
DLD,PDHm,S
DLD,2OXOADOXm,G2
DLD,PDHm,G2
