genes,reaction
A4GALT,A4GALTg
AACS,AACOAT
AACS,ACS
AACS,ACS2
AADAC,EGMESTr
AASS,SACCD4m
ABP1,NMPTRCOX
ACACB,ACCOAC
ACAD10,ACOAD1fm
ACAD10,PPCOAOm
ACAD11,ACOAD1fm
ACAD11,PPCOAOm
ACAD9,ACOAD1fm
ACAD9,PPCOAOm
ACADSB,ACOAD1fm
ACADSB,PPCOAOm
ACAT1,ACACT10m
ACAT1,ACACT1rm
ACAT2,ACACT1r
ACAT2,ACACT1x
ACLY,ACITL
ACOX2,ACOX22x
ACOX2,ACOX2x
ACP2,3NTD7l
ACP2,LAPCOAl
ACP2,NTD2l
ACP2,NTD3l
ACP2,NTD4l
ACP2,NTD5l
ACP2,NTD7l
ACP2,NTD8l
ACP2,NTD9l
ACSL1,FACOAL150
ACSL1,FACOAL160i
ACSL1,FACOAL161
ACSL1,FACOAL170
ACSL1,FACOAL180i
ACSL1,FACOAL1812
ACSL1,FACOAL1813
ACSL1,FACOAL181i
ACSL1,FACOAL1821
ACSL1,FACOAL1822
ACSL1,FACOAL1831
ACSL1,FACOAL1832
ACSL1,FACOAL184
ACSL1,FACOAL200
ACSL1,FACOAL203
ACSL1,FACOAL2042
ACSL1,FACOAL205
ACSL1,FACOAL224
ACSL1,FACOAL2252
ACSL1,FACOAL240
ACSL1,FACOAL241
ACSL1,FACOAL244_1
ACSL1,FACOAL245_1
ACSL1,FACOAL245_2
ACSL1,FACOAL246_1
ACSL1,FACOAL260
ACSL5,FACOAL160i
ACSL5,FACOAL180i
ACSS1,ACCOALm
ACSS1,ACSm
ACY1,ACODA
ACY3,NACASPAH
ADA,ADA
ADA,ADAe
ADA,DADA
ADA,DADAe
ADC,ARGDCm
ADCY1,ADNCYC
ADCY10,ADNCYC
ADCY2,ADNCYC
ADCY3,ADNCYC
ADCY4,ADNCYC
ADCY7,ADNCYC
ADCY9,ADNCYC
AGA,GASNASE2ly
AGA,GASNASEly
AGMAT,AGMTm
AGPAT5,AGPAT1
AGPAT6,AGPAT1
AGPS,AGPSx
AHCY,AHC
AHCY,SEAHCYSHYD
AHCYL2,SEAHCYSHYD
AICDA,DCYTD
AK3,ADK3m
ALDH18A1,AGPRim
ALDH18A1,G5SDym
ALDH18A1,GCALDDm
ALDH18A1,GLU5Km
ALDH18A1,LCADi_Dm
ALDH18A1,LCADim
ALDH1B1,GLACOm
ALDH1B1,IMACTD_m
ALDH1B1,NABTNOm
ALDH2,GLACOm
ALDH2,IMACTD_m
ALDH2,LCADim
ALDH2,NABTNOm
ALDH6A1,GCALDDm
ALDH6A1,LCADi_Dm
ALDH6A1,LCADim
ALDH6A1,MMSAD1m
ALDOC,FBA
ALOX12,ALOX12
ALOX12B,ALOX12R
ALOX15,ALOX15
ALOX15B,ALOX15
ALOX5,ALOX5
ALOX5,ALOX52
ALPL,ALKP
ALPP,ALKP
AMDHD2,AGDC
ANPEP,AMPTASECG
ANPEP,AMPTASECGe
ARG1,ARGN
ARG2,ARGNm
ASPA,NACASPAH
ATHL1,TREH
ATP6V0B,ATPasel
ATP6V0C,ATPasel
ATP6V1D,ATPasel
ATP6V1E1,ATPasel
ATP6V1E2,ATPasel
