genes,reaction
A4GALT,A4GALTc
AANAT,SRTNACT
AASS,SACCD3m
ABCA1,CHSTEROLt
ABCA1,CHSTEROLtg
ABCB11,CHOLATEt3
ABCB11,GCHOLAt3
ABCB11,TCHOLAt3
ABCC4,ESTRADIOLGLCt2
ABCC4,PROSTGE1t3
ABP1,13DAMPPOX
ABP1,42A12BOOX
ABP1,HISTASE
ABP1,MAOX
ABP1,MHISOR
ABP1,PEAMNO
ABP1,PTRCOX1
ABP1,TRYPTAOX
ACACB,ACCOACm
ACADM,ACOAD1fm
ACADM,ACOAD9m
ACADM,FAOXC11
ACADM,FAOXC140
ACADM,FAOXC150m
ACADM,FAOXC160
ACADM,FAOXC16080m
ACADM,FAOXC161802m
ACADM,FAOXC16180m
ACADM,FAOXC170m
ACADM,FAOXC180
ACADM,FAOXC1811601m
ACADM,FAOXC1811602m
ACADM,FAOXC1811603m
ACADM,FAOXC182806m
ACADM,FAOXC18280m
ACADM,FAOXC183803m
ACADM,FAOXC183806m
ACADM,FAOXC18480m
ACADM,FAOXC200180m
ACADM,FAOXC2031836m
ACADM,FAOXC204
ACADM,FAOXC204184m
ACADM,FAOXC2051843m
ACADM,FAOXC2242046m
ACADM,FAOXC2251836m
ACADM,FAOXC2252053m
ACADM,FAOXC226
ACADM,FAOXC226205m
ACADM,FAOXC80
ACADM,PPCOAOm
ACADS,FAOXC140
ACADS,FAOXC150m
ACADS,FAOXC160
ACADS,FAOXC16080m
ACADS,FAOXC161802m
ACADS,FAOXC16180m
ACADS,FAOXC180
ACADS,FAOXC1811601m
ACADS,FAOXC1811602m
ACADS,FAOXC1811603m
ACADS,FAOXC182806m
ACADS,FAOXC18280m
ACADS,FAOXC183803m
ACADS,FAOXC183806m
ACADS,FAOXC18480m
ACADS,FAOXC200180m
ACADS,FAOXC2031836m
ACADS,FAOXC204
ACADS,FAOXC204184m
ACADS,FAOXC2051843m
ACADS,FAOXC2242046m
ACADS,FAOXC2251836m
ACADS,FAOXC2252053m
ACADS,FAOXC226
ACADS,FAOXC226205m
ACADS,FAOXC80
ACMSD,PCLAD
ACO1,ACONT
ACO2,ACONTm
ACOT12,ACOAHi
ACOT2,PTE2x
ACOT2,PTE3x
ACOT2,PTE4x
ACOT2,PTE5x
ACOX3,PEROXx
ACSL1,FACOAL204
ACSL1,FACOAL204i
ACSL1,FACOAL2251
ACSL1,FACOAL226
ADH1A,34DHOXPEGOX
ADH1A,ALCD1
ADH1A,ALCD2if
ADH1B,34DHOXPEGOX
ADH1B,ALCD1
ADH1B,ALCD2if
ADH1C,34DHOXPEGOX
ADH1C,ALCD1
ADH1C,ALCD2if
ADH4,34DHOXPEGOX
ADH4,ALCD1
ADH4,ALCD21_D
ADH4,ALCD21_L
ADH4,ALCD22_D
ADH4,ALCD22_L
ADH4,ALCD2if
ADH5,34DHOXPEGOX
ADH5,ALCD2if
ADH5,FALDH
ADH5,LALDO
ADH6,34DHOXPEGOX
ADH6,ALCD1
ADH6,ALCD21_D
ADH6,ALCD21_L
ADH6,ALCD22_D
ADH6,ALCD22_L
ADH6,ALCD2if
ADH7,34DHOXPEGOX
ADH7,ALCD1
ADH7,ALCD21_D
ADH7,ALCD21_L
ADH7,ALCD22_D
ADH7,ALCD22_L
ADH7,ALCD2if
ADHFE1,34DHOXPEGOX
ADHFE1,ALCD1
ADHFE1,ALCD21_D
ADHFE1,ALCD21_L
ADHFE1,ALCD22_D
ADHFE1,ALCD22_L
ADHFE1,ALCD2if
ADSS,ADSS
AGPAT4,AGPAT1
AGXT,AGTix
AGXT2,AGTim
AGXT2L1,AGTim
AICDA,CYTD
AK7,ADK1
AKR1B1,ALR
AKR1B1,ARABR
AKR1B1,GALOR
AKR1B1,SBTR
AKR1C1,AKR1C1
AKR1D1,AKR1D
AKR1D1,AKR1D2
AKR7A2,ARABR
AKR7A2,SBTR
ALAS2,ALASm
ALDH1A1,5HOXINDACTOX
ALDH1A1,ALDD20x
ALDH1A1,ALDD2x
ALDH1A1,BAMPPALDOX
ALDH1A1,GCALDD
ALDH1A1,GLACO
ALDH1A1,IMACTD
ALDH1A1,LCADi
ALDH1A1,LCADi_D
ALDH1A1,NABTNO
ALDH1A1,PYLALDOX
ALDH1A3,34DHPLACOX
ALDH1A3,34DHXMANDACOX
ALDH1A3,3M4HDXPAC
ALDH1A3,3MOX4HOXPGALDOX
ALDH1A3,3MOX4HOXPGALDOX(NADP)
ALDH1A3,4HOXPACDOX(NADP)
ALDH1A3,ALDD19x
ALDH1A3,ALDD19x(P)
ALDH1A3,ALDD2x
ALDH1A3,GCALDD
ALDH1A3,GLACO
ALDH1A3,LCADi
ALDH1A3,LCADi_D
ALDH1A3,MACOXO
ALDH1B1,5HOXINDACTOXm
ALDH1B1,ALDD20xm
ALDH1B1,ALDD2xm
ALDH1B1,BAMPPALDOXm
ALDH1B1,GCALDDm
ALDH1B1,LCADi_Dm
ALDH1B1,LCADim
ALDH1B1,PYLALDOXm
ALDH1L1,FTHFDH
ALDH2,5HOXINDACTOXm
ALDH2,ALDD20xm
ALDH2,ALDD2xm
ALDH2,BAMPPALDOXm
ALDH2,GCALDDm
ALDH2,LCADi_Dm
ALDH2,PYLALDOXm
ALDH3A1,34DHPLACOX
ALDH3A1,34DHPLACOX(NADP)
ALDH3A1,34DHXMANDACOX
ALDH3A1,3M4HDXPAC
ALDH3A1,3MOX4HOXPGALDOX
ALDH3A1,3MOX4HOXPGALDOX(NADP)
ALDH3A1,4HOXPACDOX(NADP)
ALDH3A1,ALDD19x
ALDH3A1,ALDD19x(P)
ALDH3A1,ALDD2x
ALDH3A1,ALDD2y
ALDH3A1,GCALDD
ALDH3A1,GLACO
ALDH3A1,LCADi
ALDH3A1,LCADi_D
ALDH3A1,MACOXO
ALDH3A2,5HOXINDACTOX
ALDH3A2,ALDD20x
ALDH3A2,ALDD21
ALDH3A2,ALDD2x
ALDH3A2,ALDD2y
ALDH3A2,BAMPPALDOX
ALDH3A2,GCALDD
ALDH3A2,GLACO
ALDH3A2,IMACTD
ALDH3A2,LCADi
ALDH3A2,LCADi_D
ALDH3A2,NABTNO
ALDH3A2,PYLALDOX
ALDH3B1,34DHPLACOX
ALDH3B1,34DHPLACOX(NADP)
ALDH3B1,34DHXMANDACOX
ALDH3B1,34DHXMANDACOX(NADP)
ALDH3B1,3M4HDXPAC
ALDH3B1,3MOX4HOXPGALDOX
ALDH3B1,3MOX4HOXPGALDOX(NADP)
ALDH3B1,4HOXPACDOX(NADP)
ALDH3B1,ALDD19x
ALDH3B1,ALDD19x(P)
ALDH3B1,ALDD2x
