genes,reaction
ABCC4,CAMPt
ABCC4,CGMPt
ABCC4,ESTRADIOLGLCt2
ABCC4,PROSTGE1t3
ABCC4,PROSTGE2t3
ACLY,ACITL
ATP1A1,NaKt
BCKDHA,OIVD1m
BCKDHA,OIVD2m
BCKDHA,OIVD3m
CAD,CBPS
DOT1L,LYSMTF1n
DOT1L,LYSMTF2n
DOT1L,LYSMTF3n
PCYT1A,CHLPCTD
PCYT1A,CPCTDTX
PDHA1,PDHm
PGM1,PGMT
PGM1,PPM
PI4K2A,PI3P4K
PI4K2A,PI5P4K
PI4K2A,PIK4
SGPP1,SBPP1er
SGPP1,SBPP3er
SLC16A1,2HBt2
SLC16A1,ACACt2
SLC16A1,ACACt2m
SLC16A1,ACETONEt2
SLC16A1,ACETONEt2m
SLC16A1,BTNt2
SLC16A1,BTNt2m
SLC16A1,BUTt2m
SLC16A1,BUTt2r
SLC16A1,D_LACt2
SLC16A1,D_LACtm
SLC16A1,L_LACt2r
SLC16A1,L_LACtm
SLC16A1,PYRt2m
SLC16A1,PYRt2p
SLC16A1,PYRt2r
SLC35B2,PAPStg
TPI1,TPI
