genes,reaction
ACAT1,ACACT10m
ACAT1,ACACT1rm
ACAT2,ACACT1r
ACP2,NTD2l
ACP2,NTD5l
AHCY,AHC
AHCY,SEAHCYSHYD
AK1,ADK1
AK3,ADK3m
ALDOB,FBA
ALDOC,FBA
BCAT2,ILETAm
BCAT2,LEUTAm
BCAT2,VALTAm
BTD,BTNDm
CAD,ASPCTr
CAD,CBPS
CAD,DHORTS
CAT,CAT2p
CAT,CATm
CKB,CKc
DAO,DPROOp
DHFR,DHFR
DLD,2OXOADOXm
DLD,AKGDm
DLD,GCC2am
DLD,GCC2bim
DLD,GCC2cm
DLD,GCCam
DLD,GCCbim
DLD,GCCcm
DLD,OIVD1m
DLD,OIVD2m
DLD,OIVD3m
DLD,PDHm
ECHDC2,3HBCDm
ETFA,ETF
FASN,ACOATA
FASN,FAS100COA
FASN,FAS120COA
FASN,FAS140COA
FASN,FAS160COA
FASN,FAS180COA
FASN,FAS80COA_L
FASN,KAS8
FASN,MCOATA
GCAT,GLYATm
GOT2,ASPTAm
GOT2,EHGLATm
GOT2,LCYSTATm
GOT2,TYRTAm
GPD1,G3PD1
GPT,ALATA_L
GPT2,ALATA_L
GUK1,DGK1
HADHA,C2M26DCOAHLm
HADHA,ECOAH12m
HADHA,ECOAH1m
HADHA,ECOAH9m
HADHA,HACD1m
HADHA,PRPNCOAHYDm
HADHA,T2M26DCOAHLm
HADHB,ACACT1rm
HADHB,C2M26DCOAHLm
HADHB,ECOAH12m
HADHB,ECOAH1m
HADHB,ECOAH9m
HADHB,HACD1m
HADHB,T2M26DCOAHLm
HMGCLL1,HMGLm
HSD17B4,FAOXC16080x
HSD17B4,FAOXC180x
HSD17B4,FAOXC183806x
HSD17B4,FAOXC18480x
HSD17B4,FAOXC200180x
HSD17B4,FAOXC2051843x
HSD17B4,FAOXC2242046x
HSD17B4,FAOXC2251836x
HSD17B4,FAOXC2252053x
HSD17B4,FAOXC240200x
HSD17B4,FAOXC241181x
HSD17B4,FAOXC2442246x
HSD17B4,FAOXC2452253x
HSD17B4,FAOXC2452256x
HSD17B4,FAOXC246226x
HSD17B4,FAOXC260240x
HSD17B4,PEROXx
IDH2,ICDHyrm
LDHA,MCLOR
LDHAL6B,2HBO
LDHAL6B,MCLOR
LDHB,MCLOR
MCEE,MMEm
MDH2,MDHm
MTHFD1,MTHFD
MTHFD1L,FTHFLm
MTHFD1L,MTHFDm
MTHFD2,MTHFD2m
NME2,NDPK1
NME2,NDPK10
NME2,NDPK2
NME2,NDPK3
NME2,NDPK9
NME4,NDPK4m
NME4,NDPK5m
NME4,NDPK7m
NME4,NDPK8m
NME6,NDPK3
OAT,ORNTArm
PAICS,PRASCS
PGK1,PGK
PGK2,PGK
PNPO,PDX5PO
RPIA,RPI
RRM1,RNDR3
SCP2,SCP21x
SCP2,SCP3x
SDHA,SUCD1m
SDHC,SUCD1m
SHMT2,GHMT2rm
SLC13A2,SUCCt4_2
SLC16A1,ACETONEt2m
SLC16A1,PYRt2m
SLC25A10,SUCCt2m
SLC25A12,3SALAASPm
SLC25A13,3SALAASPm
SLC5A1,GLCt4_2
SLC5A11,INSTt4_2
SPCS1,PLYSPSer
SUCLG2,ITCOAL1m
SUCLG2,MECOAS1m
SUCLG2,SUCOAS1m
TPH2,TRPHYDRO2
TPI1,TPI
TYR,TYRDOPO
UMPS,ORPT
