genes,reaction
GCLM,GLUCYS
SLC1A5,ALAASNNaEx
SLC1A5,ALACYSNaEx
SLC1A5,ALAGLNNaEx
SLC1A5,ALASERNaEx
SLC1A5,ALATHRNaEx
SLC1A5,ASNALANaEx
SLC1A5,ASNCYSNaEx
SLC1A5,ASNGLNNaEx
SLC1A5,ASNSERNaEx
SLC1A5,ASNTHRNaEx
SLC1A5,CYSALANaEx
SLC1A5,CYSASNNaEx
SLC1A5,CYSGLNNaEx
SLC1A5,CYSSERNaEx
SLC1A5,CYSTHRNaEx
SLC1A5,GLNALANaEx
SLC1A5,GLNASNNaEx
SLC1A5,GLNCYSNaEx
SLC1A5,GLNSERNaEx
SLC1A5,GLNTHRNaEx
SLC1A5,SERALANaEx
SLC1A5,SERASNNaEx
SLC1A5,SERCYSNaEx
SLC1A5,SERGLNNaEx
SLC1A5,SERTHRNaEx
SLC1A5,THRALANaEx
SLC1A5,THRASNNaEx
SLC1A5,THRCYSNaEx
SLC1A5,THRGLNNaEx
SLC1A5,THRSERNaEx
SLC43A1,ILEtec
SLC43A1,LEUtec
SLC43A1,METtec
SLC43A1,VALtec
SLC9A1,NAt5
ABCC1,BILGLCURte
DOT1L,LYSMTF1n
DOT1L,LYSMTF2n
DOT1L,LYSMTF3n
GCLM,GLUCYS
SLC1A5,ALAASNNaEx
SLC1A5,ALACYSNaEx
SLC1A5,ALAGLNNaEx
SLC1A5,ALASERNaEx
SLC1A5,ALATHRNaEx
SLC1A5,ASNALANaEx
SLC1A5,ASNCYSNaEx
SLC1A5,ASNGLNNaEx
SLC1A5,ASNSERNaEx
SLC1A5,ASNTHRNaEx
SLC1A5,CYSALANaEx
SLC1A5,CYSASNNaEx
SLC1A5,CYSGLNNaEx
SLC1A5,CYSSERNaEx
SLC1A5,CYSTHRNaEx
SLC1A5,GLNALANaEx
SLC1A5,GLNASNNaEx
SLC1A5,GLNCYSNaEx
SLC1A5,GLNSERNaEx
SLC1A5,GLNTHRNaEx
SLC1A5,SERALANaEx
SLC1A5,SERASNNaEx
SLC1A5,SERCYSNaEx
SLC1A5,SERGLNNaEx
SLC1A5,SERTHRNaEx
SLC1A5,THRALANaEx
SLC1A5,THRASNNaEx
SLC1A5,THRCYSNaEx
SLC1A5,THRGLNNaEx
SLC1A5,THRSERNaEx
SLC43A1,ILEtec
SLC43A1,LEUtec
SLC43A1,METtec
SLC43A1,VALtec
SLC9A1,NAt5
ABCC1,BILDGLCURte
ABCC1,BILGLCURte
GCLM,GLUCYS
SLC1A5,ALAASNNaEx
SLC1A5,ALACYSNaEx
SLC1A5,ALAGLNNaEx
SLC1A5,ALASERNaEx
SLC1A5,ALATHRNaEx
SLC1A5,ASNALANaEx
SLC1A5,ASNCYSNaEx
SLC1A5,ASNGLNNaEx
SLC1A5,ASNSERNaEx
SLC1A5,ASNTHRNaEx
SLC1A5,CYSALANaEx
SLC1A5,CYSASNNaEx
SLC1A5,CYSGLNNaEx
SLC1A5,CYSSERNaEx
SLC1A5,CYSTHRNaEx
SLC1A5,GLNALANaEx
SLC1A5,GLNASNNaEx
SLC1A5,GLNCYSNaEx
SLC1A5,GLNSERNaEx
SLC1A5,GLNTHRNaEx
SLC1A5,SERALANaEx
SLC1A5,SERASNNaEx
SLC1A5,SERCYSNaEx
SLC1A5,SERGLNNaEx
SLC1A5,SERTHRNaEx
SLC1A5,THRALANaEx
SLC1A5,THRASNNaEx
SLC1A5,THRCYSNaEx
SLC1A5,THRGLNNaEx
SLC1A5,THRSERNaEx
SLC43A1,ILEtec
SLC43A1,LEUtec
SLC43A1,METtec
SLC43A1,VALtec
