genes,reaction
A4GALT,A4GALTc
A4GALT,A4GALTg
A4GNT,A4GNT1g
A4GNT,A4GNT2g
AACS,AACOAT
AACS,ACS2
AANAT,SRTNACT
AASS,SACCD3m
AASS,SACCD4m
ABCA1,CHSTEROLt
ABCA1,CHSTEROLtg
ABCB11,CHOLATEt3
ABCB11,GCHOLAt3
ABCB11,TCHOLAt3
ABCC4,CAMPt
ABCC4,CGMPt
ABCC4,ESTRADIOLGLCt2
ABCC4,PROSTGE1t3
ABCC4,PROSTGE2t3
ABO,ABO1g
ABO,ABO2g
ABO,ABO3g
ABO,ABO4g
ABO,ABO5g
ABO,ABO6g
ABO,ABO7g
ABO,ABO8g
ABO,ABO9g
ABP1,13DAMPPOX
ABP1,42A12BOOX
ABP1,HISTASE
ABP1,MAOX
ABP1,MHISOR
ABP1,NMPTRCOX
ABP1,PEAMNO
ABP1,PTRCOX1
ABP1,TRYPTAOX
ACAA1,ACACT4p
ACAA1,ACACT5p
ACAA1,ACACT6p
ACAA1,ACACT7p
ACAA1,ACACT8p
ACAA1,ACACT9p
ACAA1,FAOXC16080x
ACAA1,FAOXC180x
ACAA1,FAOXC183806x
ACAA1,FAOXC18480x
ACAA1,FAOXC200180x
ACAA1,FAOXC2051843x
ACAA1,FAOXC2242046x
ACAA1,FAOXC2251836x
ACAA1,FAOXC2252053x
ACAA1,FAOXC226205x
ACAA1,FAOXC240200x
ACAA1,FAOXC241181x
ACAA1,FAOXC2442246x
ACAA1,FAOXC2452253x
ACAA1,FAOXC2452256x
ACAA1,FAOXC246226x
ACAA1,FAOXC260240x
ACAA1,PEROXx
ACAD8,ACOAD1fm
ACAD8,ACOAD9m
ACAD8,PPCOAOm
ACAD9,ACOAD1fm
ACAD9,PPCOAOm
ACADM,ACOAD10m
ACADM,ACOAD1fm
ACADM,ACOAD9m
ACADM,FAOXC11
ACADM,FAOXC140
ACADM,FAOXC150m
ACADM,FAOXC160
ACADM,FAOXC16080m
ACADM,FAOXC161802m
ACADM,FAOXC16180m
ACADM,FAOXC170m
ACADM,FAOXC180
ACADM,FAOXC1811601m
ACADM,FAOXC1811602m
ACADM,FAOXC1811603m
ACADM,FAOXC182806m
ACADM,FAOXC18280m
ACADM,FAOXC183803m
ACADM,FAOXC183806m
ACADM,FAOXC18480m
ACADM,FAOXC200180m
ACADM,FAOXC2031836m
ACADM,FAOXC204
ACADM,FAOXC204184m
ACADM,FAOXC2051843m
ACADM,FAOXC2242046m
ACADM,FAOXC2251836m
ACADM,FAOXC2252053m
ACADM,FAOXC226
ACADM,FAOXC226205m
ACADM,FAOXC80
ACADM,PPCOAOm
ACADS,ACOAD1fm
ACADS,FAOXC140
ACADS,FAOXC150m
ACADS,FAOXC160
ACADS,FAOXC16080m
ACADS,FAOXC161802m
ACADS,FAOXC16180m
ACADS,FAOXC180
ACADS,FAOXC1811601m
ACADS,FAOXC1811602m
ACADS,FAOXC1811603m
ACADS,FAOXC182806m
ACADS,FAOXC18280m
ACADS,FAOXC183803m
ACADS,FAOXC183806m
ACADS,FAOXC18480m
ACADS,FAOXC200180m
ACADS,FAOXC2031836m
ACADS,FAOXC204
ACADS,FAOXC204184m
ACADS,FAOXC2051843m
ACADS,FAOXC2242046m
ACADS,FAOXC2251836m
ACADS,FAOXC2252053m
ACADS,FAOXC226
ACADS,FAOXC226205m
ACADS,FAOXC80
ACADS,PPCOAOm
ACADSB,ACOAD10m
ACADSB,ACOAD1fm
ACADSB,PPCOAOm
ACMSD,PCLAD
ACO1,ACONT
ACO2,ACONTm
ACOT12,ACOAHi
ACOT2,PTE2x
ACOT2,PTE3x
ACOT2,PTE4x
ACOT2,PTE5x
ACOX2,ACOX22x
ACOX2,ACOX2x
ACOX3,PEROXx
ACSL1,FACOAL150
ACSL1,FACOAL160i
ACSL1,FACOAL161
ACSL1,FACOAL170
ACSL1,FACOAL180i
ACSL1,FACOAL1812
ACSL1,FACOAL1813
ACSL1,FACOAL181i
ACSL1,FACOAL1821
ACSL1,FACOAL1822
ACSL1,FACOAL1831
ACSL1,FACOAL1832
ACSL1,FACOAL184
ACSL1,FACOAL200
ACSL1,FACOAL203
ACSL1,FACOAL204
ACSL1,FACOAL2042
ACSL1,FACOAL204i
ACSL1,FACOAL205
ACSL1,FACOAL224
ACSL1,FACOAL2251
ACSL1,FACOAL2252
ACSL1,FACOAL226
ACSL1,FACOAL240
ACSL1,FACOAL241
ACSL1,FACOAL244_1
ACSL1,FACOAL245_1
ACSL1,FACOAL245_2
ACSL1,FACOAL246_1
ACSL1,FACOAL260
ACSL5,FACOAL160i
ACSL5,FACOAL180i
ACY1,ACODA
ACY3,NACASPAH
ADC,ARGDCm
ADH1A,34DHOXPEGOX
ADH1A,ALCD1
ADH1A,ALCD21_D
ADH1A,ALCD21_L
ADH1A,ALCD2if
ADH1B,34DHOXPEGOX
ADH1B,ALCD1
ADH1B,ALCD21_D
ADH1B,ALCD21_L
ADH1B,ALCD2if
ADH1C,34DHOXPEGOX
ADH1C,ALCD1
ADH1C,ALCD21_D
ADH1C,ALCD21_L
ADH1C,ALCD2if
ADH4,34DHOXPEGOX
ADH4,ALCD1
ADH4,ALCD2if
ADH5,34DHOXPEGOX
ADH5,ALCD1
ADH5,ALCD21_D
ADH5,ALCD21_L
ADH5,ALCD2if
ADH5,FALDH
ADH5,LALDO
ADH6,34DHOXPEGOX
ADH6,ALCD1
ADH6,ALCD21_D
ADH6,ALCD21_L
ADH6,ALCD22_D
ADH6,ALCD22_L
ADH6,ALCD2if
ADH7,34DHOXPEGOX
ADH7,ALCD1
ADH7,ALCD21_D
ADH7,ALCD21_L
ADH7,ALCD2if
ADHFE1,34DHOXPEGOX
ADHFE1,ALCD1
ADHFE1,ALCD21_D
ADHFE1,ALCD21_L
ADHFE1,ALCD22_D
ADHFE1,ALCD22_L
ADHFE1,ALCD2if
ADSS,ADSS
AGA,GASNASE2ly
AGA,GASNASE3ly
AGA,GASNASEly
AGMAT,AGMTm
AGPS,AGPSx
AGXT,AGTix
AGXT,SPTix
AGXT2,AGTim
AGXT2L1,AGTim
AICDA,CYTD
AICDA,CYTDn
AICDA,DCYTD
AICDA,DCYTDn
AKR1B1,ALR
AKR1B1,ARABR
AKR1B1,GALOR
AKR1B1,SBTR
AKR1C1,AKR1C1
AKR1C4,AKR1C41
AKR1C4,AKR1C42
AKR1C4,HSD3A1r
AKR1C4,HSD3A2r
AKR1D1,AKR1D
AKR1D1,AKR1D2
AKR7A2,ALR2
AKR7A2,ALR3
AKR7A2,ARABR
AKR7A2,LALDO2
AKR7A2,LALDO2x
AKR7A2,PPDOx
AKR7A2,PPDOy
AKR7A2,SBTR
ALAS2,ALASm
ALDH18A1,AGPRim
ALDH18A1,G5SDym
ALDH18A1,GCALDDm
ALDH18A1,GLU5Km
ALDH18A1,LCADi_Dm
ALDH18A1,LCADim
ALDH1A1,5HOXINDACTOX
ALDH1A1,ALDD20x
