genes,reaction
ABCC1,5ADTSTSTERONEGLCte
ABCC1,AHANDROSTANGLCte
ABCC1,ANDRSTRNGLCte
ABCC1,BILDGLCURte
ABCC1,BILGLCURte
ABCC1,ESTRIOLGLCte
ABCC1,TSTSTERONEGLCte
DOT1L,LYSMTF1n
DOT1L,LYSMTF2n
DOT1L,LYSMTF3n
ISYNA1,MI1PS
PIK3C2A,PI4P3K
PIK3C2A,PI5P3K
PIK3C2A,PIK3
SLC9A1,NAt3_1
ABCC1,5ADTSTSTERONEGLCte
ABCC1,AHANDROSTANGLCte
ABCC1,ANDRSTRNGLCte
ABCC1,BILDGLCURte
ABCC1,ESTRIOLGLCte
ABCC1,TSTSTERONEGLCte
ISYNA1,MI1PS
SLC9A1,NAt3_1
ABCC1,5ADTSTSTERONEGLCte
ABCC1,AHANDROSTANGLCte
ABCC1,ANDRSTRNGLCte
ABCC1,ESTRIOLGLCte
ABCC1,TSTSTERONEGLCte
ISYNA1,MI1PS
