genes,reaction
ACAD11,ACOAD1fm
ACAD11,PPCOAOm
ACAT1,ACACT10m
ACAT1,ACACT1rm
ACLY,ACITL
AHCY,AHC
AHCY,SEAHCYSHYD
ALDOC,FBA
ALDOC,FBA2
ALDOC,FBA4
ATP6V1E1,ATPasel
ATP6V1E2,ATPasel
BLVRA,BILIRED
CAT,CAT2p
CAT,CATm
CAT,CATp
DLD,2OXOADOXm
DLD,AKGDm
DLD,GCC2am
DLD,GCC2bim
DLD,GCC2cm
DLD,GCCam
DLD,GCCbim
DLD,GCCcm
DLD,OIVD1m
DLD,OIVD2m
DLD,OIVD3m
DLD,PDHm
ENO1,ENO
ENO2,ENO
FASN,ACOATA
FASN,FAS100COA
FASN,FAS120COA
FASN,FAS140COA
FASN,FAS160COA
FASN,FAS180COA
FASN,FAS80COA_L
FASN,KAS8
FASN,MCOATA
FH,FUM
FH,FUMm
GAPDH,GAPD
GNPAT,DHAPAx
GOT2,3SALATAim
GOT2,ASPTAm
GOT2,CYSTAm
GOT2,EHGLAT2m
GOT2,EHGLATm
GOT2,LCYSTATm
GOT2,PHETA1m
GOT2,TYRTAm
HADHA,ACACT1rm
HADHA,C2M26DCOAHLm
HADHA,ECOAH12m
HADHA,ECOAH1m
HADHA,ECOAH9m
HADHA,HACD1m
HADHA,PRPNCOAHYDm
HADHA,T2M26DCOAHLm
HADHB,ACACT1rm
HADHB,C2M26DCOAHLm
HADHB,ECOAH12m
HADHB,ECOAH1m
HADHB,ECOAH9m
HADHB,PRPNCOAHYDm
HADHB,T2M26DCOAHLm
HSD17B4,C3STKR2r
HSD17B4,FAOXC16080x
HSD17B4,FAOXC180x
HSD17B4,FAOXC183806x
HSD17B4,FAOXC18480x
HSD17B4,FAOXC200180x
HSD17B4,FAOXC2051843x
HSD17B4,FAOXC2242046x
HSD17B4,FAOXC2251836x
HSD17B4,FAOXC2252053x
HSD17B4,FAOXC226205x
HSD17B4,FAOXC240200x
HSD17B4,FAOXC241181x
HSD17B4,FAOXC2442246x
HSD17B4,FAOXC2452253x
HSD17B4,FAOXC2452256x
HSD17B4,FAOXC246226x
HSD17B4,FAOXC260240x
HSD17B4,HACD1x
HSD17B4,HSD17B42x
HSD17B4,HSD17B4x
HSD17B4,PEROXx
LDHA,2HBO
LDHA,GLXO1
LDHA,HPYRR2x
LDHA,LDH_L
LDHA,LDH_Lm
LDHA,MCLOR
LDHB,2HBO
LDHB,GLXO1
LDHB,HPYRR2x
LDHB,LDH_L
LDHB,MCLOR
MDH2,MDHm
MDH2,SLDxm
MTHFD1L,FTHFLm
MTHFD1L,MTHFCm
MTHFD1L,MTHFDm
MTHFD2,MTHFCm
MTHFD2,MTHFD2m
MTHFD2,MTHFDm
NUDT5,ADPGLC
NUDT5,ADPMAN
NUDT5,ADPRDP
OXCT1,OCOAT1m
PDHB,PDHm
PGAM1,DPGM
PGAM1,DPGase
PPA1,PPA
RRM1,RNDR1
RRM1,RNDR2
RRM1,RNDR3
RRM1,RNDR4
SCP2,SCP21x
SCP2,SCP22x
SCP2,SCP2x
SCP2,SCP3x
SCP2,SCPx
SDHA,SUCD1m
SHMT2,GHMT2rm
SUCLG2,ITCOAL1m
SUCLG2,MECOAS1m
SUCLG2,SUCOAS1m
TPI1,TPI
