genes,reaction
AK7,ADK1
ATP4A,HKt
CAD,ASPCTr
CAD,CBPS
CAD,DHORTS
CKB,CKc
CKM,CKc
DNMT1,DNAMTSEn
DNMT1,DNAMTn
GMPS,GMPS2
H6PD,G6PDH1rer
H6PD,G6PDH2rer
HK2,HEX1
HKDC1,HEX1
KYNU,HKYNH
KYNU,KYN
KYNU,LFORKYNHYD
MAT1A,METAT
MAT1A,SELMETAT
PAICS,AIRCr
PAICS,PRASCS
SLC12A2,NKCC2t
SLC16A1,2HBt2
SLC16A1,ACACt2
SLC16A1,ACACt2m
SLC16A1,ACETONEt2
SLC16A1,ACETONEt2m
SLC16A1,BTNt2
SLC16A1,BTNt2m
SLC16A1,BUTt2m
SLC16A1,BUTt2r
SLC16A1,D_LACt2
SLC16A1,D_LACtm
SLC16A1,L_LACt2r
SLC16A1,L_LACtm
SLC16A1,PYRt2m
SLC16A1,PYRt2p
SLC16A1,PYRt2r
SLC17A4,PIt7ir
SLC17A6,GLUVESSEC
SLC17A7,GLUVESSEC
SLC2A1,DHAAt1r
SLC2A1,GALt1r
SLC2A1,GAMt1r
SLC2A1,GLCt1r
SLC2A1,GLCtg
SLC2A1,MANt1r
SLC2A3,GALt1r
SLC2A6,GLCt1r
SLC5A1,GLCt2_2
