genes,reaction
ADCY3,ADNCYC
AMD1,ADMDC
CAD,ASPCTr
CAD,CBPS
CAD,DHORTS
CKB,CKc
CKM,CKc
DNMT1,DNAMTSEn
DNMT1,DNAMTn
DPYS,DHPM1
DPYSL2,DHPM1
GMPS,GMPS2
H6PD,G6PDH1rer
H6PD,G6PDH2rer
HGD,HGNTOR
INPP5D,MI145PP
KYNU,HKYNH
KYNU,KYN
KYNU,LFORKYNHYD
NDUFS1,NADH2_u10m
OXCT1,OCOAT1m
OXCT2,OCOAT1m
PAICS,AIRCr
PAICS,PRASCS
PCCB,PPCOACm
PGLS,PGL
PHGDH,PGCD
PI4K2A,PI5P4K
RRM2,RNDR2
SLC16A1,2HBt2
SLC16A1,ACACt2
SLC16A1,ACACt2m
SLC16A1,ACETONEt2
SLC16A1,ACETONEt2m
SLC16A1,BTNt2
SLC16A1,BTNt2m
SLC16A1,BUTt2m
SLC16A1,BUTt2r
SLC16A1,D_LACt2
SLC16A1,D_LACtm
SLC16A1,L_LACt2r
SLC16A1,L_LACtm
SLC16A1,PYRt2m
SLC16A1,PYRt2p
SLC16A1,PYRt2r
SLC16A10,TYRt
SLC17A4,PIt7ir
SLC2A1,DHAAt1r
SLC2A1,GALt1r
SLC2A1,GAMt1r
SLC2A1,GLCt1r
SLC2A1,GLCtg
SLC2A1,MANt1r
SLC2A3,GALt1r
SLC2A4,GLCt1r
SLC2A6,GLCt1r
SLC5A1,GLCt2_2
UMPS,OMPDC
