genes,reaction,Phase
ABCC1,5ADTSTSTERONEGLCte,G0
ABCC1,AHANDROSTANGLCte,G0
ABCC1,ANDRSTRNGLCte,G0
ABCC1,BILDGLCURte,G0
ABCC1,BILGLCURte,G0
ABCC1,ESTRIOLGLCte,G0
ABCC1,TSTSTERONEGLCte,G0
SLC43A1,ILEtec,G0
SLC43A1,LEUtec,G0
SLC43A1,METtec,G0
SLC43A1,VALtec,G0
SLC7A1,ALAt4,G0
SLC7A1,ARGtiDF,G0
SLC7A1,HOMt4,G0
SLC7A1,LEUt4,G0
SLC7A1,LYStiDF,G0
SLC7A1,ORNtiDF,G0
SLC7A1,PHEt4,G0
ABCC1,5ADTSTSTERONEGLCte,S
ABCC1,AHANDROSTANGLCte,S
ABCC1,ANDRSTRNGLCte,S
ABCC1,BILDGLCURte,S
ABCC1,BILGLCURte,S
ABCC1,ESTRIOLGLCte,S
ABCC1,TSTSTERONEGLCte,S
DOT1L,LYSMTF1n,S
DOT1L,LYSMTF2n,S
DOT1L,LYSMTF3n,S
GCLM,GLUCYS,S
ISYNA1,MI1PS,S
SLC43A1,ILEtec,S
SLC43A1,LEUtec,S
SLC43A1,METtec,S
SLC43A1,VALtec,S
SLC9A1,NAt3_1,S
SLC9A1,NAt5,S
ABCC1,5ADTSTSTERONEGLCte,G2
ABCC1,AHANDROSTANGLCte,G2
ABCC1,ANDRSTRNGLCte,G2
ABCC1,BILDGLCURte,G2
ABCC1,BILGLCURte,G2
ABCC1,ESTRIOLGLCte,G2
ABCC1,TSTSTERONEGLCte,G2
GCLM,GLUCYS,G2
ISYNA1,MI1PS,G2
SLC43A1,ILEtec,G2
SLC43A1,LEUtec,G2
SLC43A1,METtec,G2
SLC43A1,VALtec,G2
