genes,reaction,Phase
DCK,DCK1n,G0
DOT1L,LYSMTF1n,G0
DOT1L,LYSMTF3n,G0
KYNU,HKYNH,G0
NADK,NADK,G0
NT5C2,NTD6,G0
NT5C2,NTD7,G0
PLCB2,PI45PLC,G0
PLCB2,PI4PLC,G0
PLCB2,PIPLC,G0
SOD1,SPODM,G0
TKT,TKT1,G0
TKT,TKT2,G0
CAD,DHORTS,S
DCK,DCK1n,S
DCK,DCK2n,S
DPYSL2,DHPM1,S
FBP2,FBP,S
GMPS,GMPS2,S
INPP5D,MI145PP,S
INPP5D,PI345P5P,S
NADK,NADK,S
NT5C2,NT5C,S
NT5C2,NTD10,S
NT5C2,NTD11,S
NT5C2,NTD6,S
NT5C2,NTD7,S
NT5C2,NTD9,S
PGLS,PGL,S
PIK3C2A,PI4P3K,S
PIK3C2A,PI5P3K,S
PIK3C2A,PIK3,S
PLCB2,PI45PLC,S
PLCB2,PI4PLC,S
PLCB2,PIPLC,S
SLC16A1,ACACt2m,S
SLC16A1,BTNt2,S
SLC16A1,L_LACt2r,S
SLC16A1,L_LACtm,S
SLC2A1,GLCt1r,S
SLC2A1,MANt1r,S
SLC38A1,ALAt4,S
SLC38A1,ASNt4,S
SLC38A1,GLNt4,S
SLC38A1,GLYt4,S
SLC38A1,LEUt4,S
SLC38A1,METt4,S
SLC38A1,PHEt4,S
SLC38A1,PROt4,S
SLC38A1,SERt4,S
SLC38A1,THRt4,S
SLC4A7,HCO3_NAt,S
SLC9A2,NAt3_1,S
SLC9A2,NAt5,S
SLC9A4,NAt3_1,S
SOD1,SPODM,S
SOD1,SPODMn,S
SOD1,SPODMx,S
TKT,TKT1,S
TKT,TKT2,S
DCK,DCK1n,G2
DCK,DCK2n,G2
DOT1L,LYSMTF1n,G2
DOT1L,LYSMTF3n,G2
DPYSL2,DHPM1,G2
NADK,NADK,G2
NT5C2,NT5C,G2
NT5C2,NTD10,G2
NT5C2,NTD11,G2
NT5C2,NTD6,G2
NT5C2,NTD7,G2
NT5C2,NTD9,G2
PIK3C2A,PI4P3K,G2
PIK3C2A,PI5P3K,G2
PIK3C2A,PIK3,G2
PLCB2,PI45PLC,G2
PLCB2,PI4PLC,G2
PLCB2,PIPLC,G2
SLC16A1,BTNt2,G2
SLC16A1,L_LACt2r,G2
SLC16A1,L_LACtm,G2
SLC2A1,GLCt1r,G2
SLC2A1,MANt1r,G2
SLC38A1,ALAt4,G2
SLC38A1,ASNt4,G2
SLC38A1,GLNt4,G2
SLC38A1,GLYt4,G2
SLC38A1,LEUt4,G2
SLC38A1,METt4,G2
SLC38A1,PHEt4,G2
SLC38A1,PROt4,G2
SLC38A1,SERt4,G2
SLC38A1,THRt4,G2
SLC4A7,HCO3_NAt,G2
SLC9A1,NAt3_1,G2
SLC9A1,NAt5,G2
SLC9A2,NAt3_1,G2
SLC9A2,NAt5,G2
SOD1,SPODM,G2
SOD1,SPODMx,G2
TKT,TKT2,G2
