genes,reaction,Phase
SLC1A5,ALAASNNaEx,G0
SLC1A5,ALACYSNaEx,G0
SLC1A5,ALAGLNNaEx,G0
SLC1A5,ALASERNaEx,G0
SLC1A5,ALATHRNaEx,G0
SLC1A5,ASNALANaEx,G0
SLC1A5,ASNCYSNaEx,G0
SLC1A5,ASNGLNNaEx,G0
SLC1A5,ASNSERNaEx,G0
SLC1A5,ASNTHRNaEx,G0
SLC1A5,CYSALANaEx,G0
SLC1A5,CYSASNNaEx,G0
SLC1A5,CYSGLNNaEx,G0
SLC1A5,CYSSERNaEx,G0
SLC1A5,CYSTHRNaEx,G0
SLC1A5,GLNALANaEx,G0
SLC1A5,GLNASNNaEx,G0
SLC1A5,GLNCYSNaEx,G0
SLC1A5,GLNSERNaEx,G0
SLC1A5,GLNTHRNaEx,G0
SLC1A5,SERALANaEx,G0
SLC1A5,SERASNNaEx,G0
SLC1A5,SERCYSNaEx,G0
SLC1A5,SERGLNNaEx,G0
SLC1A5,SERTHRNaEx,G0
SLC1A5,THRALANaEx,G0
SLC1A5,THRASNNaEx,G0
SLC1A5,THRCYSNaEx,G0
SLC1A5,THRGLNNaEx,G0
SLC1A5,THRSERNaEx,G0
SLC1A5,ALAASNNaEx,S
SLC1A5,ALACYSNaEx,S
SLC1A5,ALAGLNNaEx,S
SLC1A5,ALASERNaEx,S
SLC1A5,ALATHRNaEx,S
SLC1A5,ASNALANaEx,S
SLC1A5,ASNCYSNaEx,S
SLC1A5,ASNGLNNaEx,S
SLC1A5,ASNSERNaEx,S
SLC1A5,ASNTHRNaEx,S
SLC1A5,CYSALANaEx,S
SLC1A5,CYSASNNaEx,S
SLC1A5,CYSGLNNaEx,S
SLC1A5,CYSSERNaEx,S
SLC1A5,CYSTHRNaEx,S
SLC1A5,GLNALANaEx,S
SLC1A5,GLNASNNaEx,S
SLC1A5,GLNCYSNaEx,S
SLC1A5,GLNSERNaEx,S
SLC1A5,GLNTHRNaEx,S
SLC1A5,SERALANaEx,S
SLC1A5,SERASNNaEx,S
SLC1A5,SERCYSNaEx,S
SLC1A5,SERGLNNaEx,S
SLC1A5,SERTHRNaEx,S
SLC1A5,THRALANaEx,S
SLC1A5,THRASNNaEx,S
SLC1A5,THRCYSNaEx,S
SLC1A5,THRGLNNaEx,S
SLC1A5,THRSERNaEx,S
SLC1A5,ALAASNNaEx,G2
SLC1A5,ALACYSNaEx,G2
SLC1A5,ALAGLNNaEx,G2
SLC1A5,ALASERNaEx,G2
SLC1A5,ALATHRNaEx,G2
SLC1A5,ASNALANaEx,G2
SLC1A5,ASNCYSNaEx,G2
SLC1A5,ASNGLNNaEx,G2
SLC1A5,ASNSERNaEx,G2
SLC1A5,ASNTHRNaEx,G2
SLC1A5,CYSALANaEx,G2
SLC1A5,CYSASNNaEx,G2
SLC1A5,CYSGLNNaEx,G2
SLC1A5,CYSSERNaEx,G2
SLC1A5,CYSTHRNaEx,G2
SLC1A5,GLNALANaEx,G2
SLC1A5,GLNASNNaEx,G2
SLC1A5,GLNCYSNaEx,G2
SLC1A5,GLNSERNaEx,G2
SLC1A5,GLNTHRNaEx,G2
SLC1A5,SERALANaEx,G2
SLC1A5,SERASNNaEx,G2
SLC1A5,SERCYSNaEx,G2
SLC1A5,SERGLNNaEx,G2
SLC1A5,SERTHRNaEx,G2
SLC1A5,THRALANaEx,G2
SLC1A5,THRASNNaEx,G2
SLC1A5,THRCYSNaEx,G2
SLC1A5,THRGLNNaEx,G2
SLC1A5,THRSERNaEx,G2
