genes,reaction,Phase
DCK,DCK1n,G0
DCK,DCK2n,G0
DOT1L,LYSMTF1n,G0
DOT1L,LYSMTF2n,G0
DOT1L,LYSMTF3n,G0
NADK,NADK,G0
NT5C2,NT5C,G0
NT5C2,NTD10,G0
NT5C2,NTD11,G0
NT5C2,NTD6,G0
NT5C2,NTD7,G0
NT5C2,NTD8,G0
NT5C2,NTD9,G0
PDHA1,PDHm,G0
PIK3C2A,PI4P3K,G0
PIK3C2A,PI5P3K,G0
PIK3C2A,PIK3,G0
PLCB2,PI45PLC,G0
PLCB2,PI4PLC,G0
PLCB2,PIPLC,G0
SLC38A1,GLYt4,G0
SLC4A7,HCO3_NAt,G0
SLC9A1,NAt3_1,G0
SLC9A1,NAt5,G0
SOD1,SPODM,G0
SOD1,SPODMn,G0
SOD1,SPODMx,G0
TKT,TKT1,S
TKT,TKT2,S
DOT1L,LYSMTF1n,G2
DOT1L,LYSMTF2n,G2
TKT,TKT1,G2
TKT,TKT2,G2
