genes,reaction,Phase
ACACB,ACCOACm,S
ACAT1,ACACT10m,S
ACAT1,ACACT1rm,S
ACLY,ACITL,S
AHCY,AHC,S
AHCY,SEAHCYSHYD,S
CAD,DHORTS,S
DCK,DCK1n,S
DCK,DCK2n,S
DLD,2OXOADOXm,S
DLD,AKGDm,S
DLD,GCC2am,S
DLD,GCC2bim,S
DLD,GCC2cm,S
DLD,GCCam,S
DLD,GCCbim,S
DLD,GCCcm,S
DLD,OIVD1m,S
DLD,OIVD2m,S
DLD,OIVD3m,S
DLD,PDHm,S
FH,FUM,S
FH,FUMm,S
HSD17B4,HACD1x,S
HSD17B4,PEROXx,S
INPP5D,PI345P5P,S
KYNU,HKYNH,S
MTHFD1L,MTHFDm,S
NUDT5,ADPRDP,S
PGLS,PGL,S
PISD,PSDm_hs,S
PPAT,GLUPRT,S
RRM1,RNDR1,S
RRM1,RNDR2,S
RRM1,RNDR3,S
RRM2,RNDR1,S
RRM2,RNDR2,S
RRM2,RNDR4,S
SDHA,SUCD1m,S
TKT,TKT1,S
TKT,TKT2,S
ACACB,ACCOACm,G2
ACAT1,ACACT10m,G2
ACAT1,ACACT1rm,G2
ACMSD,PCLAD,G2
AUH,MGCHrm,G2
AUH,PRPNCOAHYDm,G2
BCKDHA,OIVD1m,G2
BCKDHA,OIVD2m,G2
BCKDHA,OIVD3m,G2
CAD,DHORTS,G2
CAT,CAT2p,G2
COX4I1,CYOOm3,G2
COX5A,CYOOm3,G2
CRLS1,CLS_hs,G2
CYP51A1,LNS14DMr,G2
DBT,OIVD1m,G2
DBT,OIVD2m,G2
DBT,OIVD3m,G2
DCK,DCK1n,G2
DCK,DCK2n,G2
DHCR7,DHCR71r,G2
DHCR7,DHCR72r,G2
DLD,2OXOADOXm,G2
DLD,AKGDm,G2
DLD,GCC2am,G2
DLD,GCC2bim,G2
DLD,GCC2cm,G2
DLD,GCCam,G2
DLD,GCCbim,G2
DLD,GCCcm,G2
DLD,OIVD1m,G2
DLD,OIVD2m,G2
DLD,OIVD3m,G2
DLD,PDHm,G2
DLST,2OXOADOXm,G2
DLST,AKGDm,G2
EBP,EBP1r,G2
EBP,EBP2r,G2
FASN,ACOATA,G2
FASN,FAS100COA,G2
FASN,FAS160COA,G2
FASN,FAS180COA,G2
FASN,FAS80COA_L,G2
FASN,KAS8,G2
FASN,MCOATA,G2
FDFT1,SQLSr,G2
FH,FUM,G2
GMPS,GMPS2,G2
HAL,HISD,G2
HSD17B4,C3STKR2r,G2
HSD17B4,FAOXC16080x,G2
HSD17B4,FAOXC180x,G2
HSD17B4,FAOXC183806x,G2
HSD17B4,FAOXC18480x,G2
HSD17B4,FAOXC200180x,G2
HSD17B4,FAOXC2051843x,G2
HSD17B4,FAOXC2242046x,G2
HSD17B4,FAOXC2251836x,G2
HSD17B4,FAOXC2252053x,G2
HSD17B4,FAOXC226205x,G2
HSD17B4,FAOXC240200x,G2
HSD17B4,FAOXC241181x,G2
HSD17B4,FAOXC2442246x,G2
HSD17B4,FAOXC2452253x,G2
HSD17B4,FAOXC2452256x,G2
HSD17B4,FAOXC246226x,G2
HSD17B4,FAOXC260240x,G2
HSD17B4,HACD1x,G2
HSD17B4,HSD17B42x,G2
HSD17B4,HSD17B4x,G2
HSD17B4,PEROXx,G2
IVD,ACOAD8m,G2
KDSR,3DSPHR,G2
KYNU,HKYNH,G2
MCCC1,MCCCrm,G2
MTHFD1L,FTHFLm,G2
MVD,DPMVDx,G2
MVK,MEVK1x,G2
NSDHL,C3STDH1Pr,G2
NSDHL,C3STDH1r,G2
PAH,PHETHPTOX2,G2
PCCA,PPCOACm,G2
PDHX,2OXOADOXm,G2
PDHX,AKGDm,G2
PDHX,PDHm,G2
PGLS,PGL,G2
PISD,PSDm_hs,G2
SC5DL,LSTO1r,G2
SC5DL,LSTO2r,G2
SDHA,SUCD1m,G2
SLC43A1,ILEtec,G2
SPTLC1,SERPT,G2
