genes,reaction,Phase
A4GALT,A4GALTc,S
A4GALT,A4GALTg,S
A4GNT,A4GNT1g,S
A4GNT,A4GNT2g,S
AACS,AACOAT,S
AACS,ACS,S
AACS,ACS2,S
AADAC,EGMESTr,S
AANAT,SRTNACT,S
AASS,SACCD3m,S
AASS,SACCD4m,S
ABCA1,CHSTEROLt,S
ABCA1,CHSTEROLtg,S
ABCB11,CHOLATEt3,S
ABCB11,GCHOLAt3,S
ABCB11,TCHOLAt3,S
ABCC1,5ADTSTSTERONEGLCte,S
ABCC1,AHANDROSTANGLCte,S
ABCC1,ANDRSTRNGLCte,S
ABCC1,BILDGLCURte,S
ABCC1,BILGLCURte,S
ABCC1,ESTRIOLGLCte,S
ABCC1,TSTSTERONEGLCte,S
ABCC4,CAMPt,S
ABCC4,CGMPt,S
ABCC4,ESTRADIOLGLCt2,S
ABCC4,PROSTGE1t3,S
ABCC4,PROSTGE2t3,S
ABO,ABO1g,S
ABO,ABO2g,S
ABO,ABO3g,S
ABO,ABO4g,S
ABO,ABO5g,S
ABO,ABO6g,S
ABO,ABO7g,S
ABO,ABO8g,S
ABO,ABO9g,S
ABP1,13DAMPPOX,S
ABP1,42A12BOOX,S
ABP1,HISTASE,S
ABP1,MAOX,S
ABP1,MHISOR,S
ABP1,NMPTRCOX,S
ABP1,PEAMNO,S
ABP1,PTRCOX1,S
ABP1,TRYPTAOX,S
ACAA1,ACACT4p,S
ACAA1,ACACT5p,S
ACAA1,ACACT6p,S
ACAA1,ACACT7p,S
ACAA1,ACACT8p,S
ACAA1,ACACT9p,S
ACAA1,FAOXC16080x,S
ACAA1,FAOXC180x,S
ACAA1,FAOXC183806x,S
ACAA1,FAOXC18480x,S
ACAA1,FAOXC200180x,S
ACAA1,FAOXC2051843x,S
ACAA1,FAOXC2242046x,S
ACAA1,FAOXC2251836x,S
ACAA1,FAOXC2252053x,S
ACAA1,FAOXC226205x,S
ACAA1,FAOXC240200x,S
ACAA1,FAOXC241181x,S
ACAA1,FAOXC2442246x,S
ACAA1,FAOXC2452253x,S
ACAA1,FAOXC2452256x,S
ACAA1,FAOXC246226x,S
ACAA1,FAOXC260240x,S
ACAA1,PEROXx,S
ACACB,ACCOAC,S
ACAD10,ACOAD1fm,S
ACAD10,PPCOAOm,S
ACAD11,ACOAD1fm,S
ACAD11,PPCOAOm,S
ACAD8,ACOAD1fm,S
ACAD8,ACOAD9m,S
ACAD8,PPCOAOm,S
ACAD9,ACOAD1fm,S
ACAD9,PPCOAOm,S
ACADM,ACOAD10m,S
ACADM,ACOAD1fm,S
ACADM,ACOAD9m,S
ACADM,FAOXC11,S
ACADM,FAOXC140,S
ACADM,FAOXC150m,S
ACADM,FAOXC160,S
ACADM,FAOXC16080m,S
ACADM,FAOXC161802m,S
ACADM,FAOXC16180m,S
ACADM,FAOXC170m,S
ACADM,FAOXC180,S
ACADM,FAOXC1811601m,S
ACADM,FAOXC1811602m,S
ACADM,FAOXC1811603m,S
ACADM,FAOXC182806m,S
ACADM,FAOXC18280m,S
ACADM,FAOXC183803m,S
ACADM,FAOXC183806m,S
ACADM,FAOXC18480m,S
ACADM,FAOXC200180m,S
ACADM,FAOXC2031836m,S
ACADM,FAOXC204,S
ACADM,FAOXC204184m,S
ACADM,FAOXC2051843m,S
ACADM,FAOXC2242046m,S
ACADM,FAOXC2251836m,S
ACADM,FAOXC2252053m,S
ACADM,FAOXC226,S
ACADM,FAOXC226205m,S
ACADM,FAOXC80,S
ACADM,PPCOAOm,S
ACADS,ACOAD1fm,S
ACADS,FAOXC140,S
ACADS,FAOXC150m,S
