genes,reaction,Phase
ABCC1,5ADTSTSTERONEGLCte,G1
ABCC1,AHANDROSTANGLCte,G1
ABCC1,ANDRSTRNGLCte,G1
ABCC1,BILDGLCURte,G1
ABCC1,BILGLCURte,G1
ABCC1,ESTRIOLGLCte,G1
ABCC1,TSTSTERONEGLCte,G1
DOT1L,LYSMTF1n,G1
DOT1L,LYSMTF2n,G1
DOT1L,LYSMTF3n,G1
GCLM,GLUCYS,G1
ISYNA1,MI1PS,G1
PIK3C2A,PI4P3K,G1
PIK3C2A,PI5P3K,G1
PIK3C2A,PIK3,G1
SLC43A1,ILEtec,G1
SLC43A1,LEUtec,G1
SLC43A1,METtec,G1
SLC43A1,VALtec,G1
SLC9A1,NAt3_1,G1
SLC9A1,NAt5,G1
ABCC1,5ADTSTSTERONEGLCte,S
ABCC1,AHANDROSTANGLCte,S
ABCC1,ANDRSTRNGLCte,S
ABCC1,BILDGLCURte,S
ABCC1,BILGLCURte,S
ABCC1,ESTRIOLGLCte,S
ABCC1,TSTSTERONEGLCte,S
DOT1L,LYSMTF1n,S
DOT1L,LYSMTF2n,S
DOT1L,LYSMTF3n,S
GCLM,GLUCYS,S
ISYNA1,MI1PS,S
SLC43A1,ILEtec,S
SLC43A1,LEUtec,S
SLC43A1,METtec,S
SLC43A1,VALtec,S
SLC9A1,NAt3_1,S
SLC9A1,NAt5,S
ABCC1,5ADTSTSTERONEGLCte,G2
ABCC1,AHANDROSTANGLCte,G2
ABCC1,ANDRSTRNGLCte,G2
ABCC1,BILDGLCURte,G2
ABCC1,BILGLCURte,G2
ABCC1,ESTRIOLGLCte,G2
ABCC1,TSTSTERONEGLCte,G2
GCLM,GLUCYS,G2
ISYNA1,MI1PS,G2
SLC43A1,ILEtec,G2
SLC43A1,LEUtec,G2
SLC43A1,METtec,G2
SLC43A1,VALtec,G2
