genes,reaction,Phase
ABCC1,5ADTSTSTERONEGLCte,G1
ABCC1,AHANDROSTANGLCte,G1
ABCC1,ANDRSTRNGLCte,G1
ABCC1,BILDGLCURte,G1
ABCC1,BILGLCURte,G1
ABCC1,ESTRIOLGLCte,G1
ABCC1,TSTSTERONEGLCte,G1
SLC1A5,ALAASNNaEx,G1
SLC1A5,ALACYSNaEx,G1
SLC1A5,ALAGLNNaEx,G1
SLC1A5,ALASERNaEx,G1
SLC1A5,ALATHRNaEx,G1
SLC1A5,ASNALANaEx,G1
SLC1A5,ASNCYSNaEx,G1
SLC1A5,ASNGLNNaEx,G1
SLC1A5,ASNSERNaEx,G1
SLC1A5,ASNTHRNaEx,G1
SLC1A5,CYSALANaEx,G1
SLC1A5,CYSASNNaEx,G1
SLC1A5,CYSGLNNaEx,G1
SLC1A5,CYSSERNaEx,G1
SLC1A5,CYSTHRNaEx,G1
SLC1A5,GLNALANaEx,G1
SLC1A5,GLNASNNaEx,G1
SLC1A5,GLNCYSNaEx,G1
SLC1A5,GLNSERNaEx,G1
SLC1A5,GLNTHRNaEx,G1
SLC1A5,SERALANaEx,G1
SLC1A5,SERASNNaEx,G1
SLC1A5,SERCYSNaEx,G1
SLC1A5,SERGLNNaEx,G1
SLC1A5,SERTHRNaEx,G1
SLC1A5,THRALANaEx,G1
SLC1A5,THRASNNaEx,G1
SLC1A5,THRCYSNaEx,G1
SLC1A5,THRGLNNaEx,G1
SLC1A5,THRSERNaEx,G1
SLC43A1,ILEtec,G1
SLC43A1,LEUtec,G1
SLC43A1,METtec,G1
SLC43A1,VALtec,G1
ABCC1,5ADTSTSTERONEGLCte,S
ABCC1,AHANDROSTANGLCte,S
ABCC1,ANDRSTRNGLCte,S
ABCC1,BILDGLCURte,S
ABCC1,BILGLCURte,S
ABCC1,ESTRIOLGLCte,S
ABCC1,TSTSTERONEGLCte,S
SLC1A5,ALAASNNaEx,S
SLC1A5,ALACYSNaEx,S
SLC1A5,ALAGLNNaEx,S
SLC1A5,ALASERNaEx,S
SLC1A5,ALATHRNaEx,S
SLC1A5,ASNALANaEx,S
SLC1A5,ASNCYSNaEx,S
SLC1A5,ASNGLNNaEx,S
SLC1A5,ASNSERNaEx,S
SLC1A5,ASNTHRNaEx,S
SLC1A5,CYSALANaEx,S
SLC1A5,CYSASNNaEx,S
SLC1A5,CYSGLNNaEx,S
SLC1A5,CYSSERNaEx,S
SLC1A5,CYSTHRNaEx,S
SLC1A5,GLNALANaEx,S
SLC1A5,GLNASNNaEx,S
SLC1A5,GLNCYSNaEx,S
SLC1A5,GLNSERNaEx,S
SLC1A5,GLNTHRNaEx,S
SLC1A5,SERALANaEx,S
SLC1A5,SERASNNaEx,S
SLC1A5,SERCYSNaEx,S
SLC1A5,SERGLNNaEx,S
SLC1A5,SERTHRNaEx,S
SLC1A5,THRALANaEx,S
SLC1A5,THRASNNaEx,S
SLC1A5,THRCYSNaEx,S
SLC1A5,THRGLNNaEx,S
SLC1A5,THRSERNaEx,S
SLC43A1,ILEtec,S
SLC43A1,LEUtec,S
SLC43A1,METtec,S
SLC43A1,VALtec,S
ABCC1,5ADTSTSTERONEGLCte,G2
ABCC1,AHANDROSTANGLCte,G2
ABCC1,ANDRSTRNGLCte,G2
ABCC1,BILDGLCURte,G2
ABCC1,BILGLCURte,G2
ABCC1,ESTRIOLGLCte,G2
ABCC1,TSTSTERONEGLCte,G2
SLC1A5,ALAASNNaEx,G2
SLC1A5,ALACYSNaEx,G2
SLC1A5,ALAGLNNaEx,G2
SLC1A5,ALASERNaEx,G2
SLC1A5,ALATHRNaEx,G2
SLC1A5,ASNALANaEx,G2
SLC1A5,ASNCYSNaEx,G2
SLC1A5,ASNGLNNaEx,G2
SLC1A5,ASNSERNaEx,G2
SLC1A5,ASNTHRNaEx,G2
SLC1A5,CYSALANaEx,G2
SLC1A5,CYSASNNaEx,G2
SLC1A5,CYSGLNNaEx,G2
SLC1A5,CYSSERNaEx,G2
SLC1A5,CYSTHRNaEx,G2
SLC1A5,GLNALANaEx,G2
SLC1A5,GLNASNNaEx,G2
SLC1A5,GLNCYSNaEx,G2
SLC1A5,GLNSERNaEx,G2
SLC1A5,GLNTHRNaEx,G2
SLC1A5,SERALANaEx,G2
SLC1A5,SERASNNaEx,G2
SLC1A5,SERCYSNaEx,G2
SLC1A5,SERGLNNaEx,G2
SLC1A5,SERTHRNaEx,G2
SLC1A5,THRALANaEx,G2
SLC1A5,THRASNNaEx,G2
SLC1A5,THRCYSNaEx,G2
SLC1A5,THRGLNNaEx,G2
SLC1A5,THRSERNaEx,G2
SLC43A1,ILEtec,G2
SLC43A1,LEUtec,G2
SLC43A1,METtec,G2
SLC43A1,VALtec,G2
