genes,reaction,Phase
ABCC1,5ADTSTSTERONEGLCte,G1
ABCC1,AHANDROSTANGLCte,G1
ABCC1,ANDRSTRNGLCte,G1
ABCC1,BILDGLCURte,G1
ABCC1,BILGLCURte,G1
ABCC1,ESTRIOLGLCte,G1
ABCC1,TSTSTERONEGLCte,G1
DOT1L,LYSMTF1n,G1
DOT1L,LYSMTF2n,G1
DOT1L,LYSMTF3n,G1
GCLM,GLUCYS,G1
ISYNA1,MI1PS,G1
PIK3C2A,PI4P3K,G1
PIK3C2A,PI5P3K,G1
PIK3C2A,PIK3,G1
SLC1A5,ALAASNNaEx,G1
SLC1A5,ALACYSNaEx,G1
SLC1A5,ALAGLNNaEx,G1
SLC1A5,ALASERNaEx,G1
SLC1A5,ALATHRNaEx,G1
SLC1A5,ASNALANaEx,G1
SLC1A5,ASNCYSNaEx,G1
SLC1A5,ASNGLNNaEx,G1
SLC1A5,ASNSERNaEx,G1
SLC1A5,ASNTHRNaEx,G1
SLC1A5,CYSALANaEx,G1
SLC1A5,CYSASNNaEx,G1
SLC1A5,CYSGLNNaEx,G1
SLC1A5,CYSSERNaEx,G1
SLC1A5,CYSTHRNaEx,G1
SLC1A5,GLNALANaEx,G1
SLC1A5,GLNASNNaEx,G1
SLC1A5,GLNCYSNaEx,G1
SLC1A5,GLNSERNaEx,G1
SLC1A5,GLNTHRNaEx,G1
SLC1A5,SERALANaEx,G1
SLC1A5,SERASNNaEx,G1
SLC1A5,SERCYSNaEx,G1
SLC1A5,SERGLNNaEx,G1
SLC1A5,SERTHRNaEx,G1
SLC1A5,THRALANaEx,G1
SLC1A5,THRASNNaEx,G1
SLC1A5,THRCYSNaEx,G1
SLC1A5,THRGLNNaEx,G1
SLC1A5,THRSERNaEx,G1
SLC43A1,ILEtec,G1
SLC43A1,LEUtec,G1
SLC43A1,METtec,G1
SLC43A1,VALtec,G1
SLC9A1,NAt3_1,G1
SLC9A1,NAt5,G1
ABCC1,ANDRSTRNGLCte,S
DOT1L,LYSMTF1n,S
DOT1L,LYSMTF2n,S
DOT1L,LYSMTF3n,S
GCLM,GLUCYS,S
ISYNA1,MI1PS,S
SLC1A5,ASNTHRNaEx,S
SLC1A5,THRASNNaEx,S
SLC9A1,NAt3_1,S
SLC9A1,NAt5,S
ABCC1,5ADTSTSTERONEGLCte,G2
ABCC1,AHANDROSTANGLCte,G2
ABCC1,ANDRSTRNGLCte,G2
ABCC1,ESTRIOLGLCte,G2
ABCC1,TSTSTERONEGLCte,G2
GCLM,GLUCYS,G2
ISYNA1,MI1PS,G2
SLC1A5,ASNTHRNaEx,G2
SLC1A5,THRASNNaEx,G2
